,coef,p
2 km 缓冲区半径的企业总数,-1.896463,0.1696
2014年之前企业数量,NA,NA
2014之后新入驻企业数量,1.16675,0.0391
人员平均工资,-8.100549,<2e-16
注册资本,-5.02923,6.50E-11
土地均价,NA,NA
距市中心距离,-0.332284,5.10E-09
距机场距离,NA,NA
距火车站距离,-0.370286,0.005
距最近主干道的距离,NA,NA
一般科研院所距离,-0.422219,5.00E-13
重点科研院所距离,NA,NA
是否国家级开发区,0.278247,4.90E-08
是否红岛新区,NA,NA
是否蓝色硅谷,NA,NA
,,
,,
,,
N=5010,,
Df=8,,
likelihood ration test=665.5,,
p<2e-16,,
